순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
9,박건우,롯데,0.250,2,4,4,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0.250,0.250,0.500,0,0.000,0.000
9,한동희,롯데,0.250,33,134,124,13,31,5,0,4,48,11,0,1,8,0,1,30,7,0.387,0.299,0.686,8,0.125,0.000
11,한태양,롯데,0.245,35,105,94,17,23,4,0,0,27,2,1,0,9,0,1,23,0,0.287,0.317,0.604,4,0.111,0.000
12,손성빈,롯데,0.236,64,167,148,17,35,6,0,2,47,13,2,1,14,0,2,30,2,0.318,0.309,0.627,5,0.195,0.000
13,유강남,롯데,0.233,45,109,103,8,24,5,0,3,38,7,0,1,4,0,1,28,1,0.369,0.266,0.635,4,0.125,0.071
14,전준우,롯데,0.225,52,193,178,12,40,6,0,2,52,13,0,2,13,0,0,29,4,0.292,0.275,0.567,9,0.178,0.500
15,신윤후,롯데,0.222,22,19,18,6,4,2,0,0,6,0,0,0,1,0,0,8,1,0.333,0.263,0.596,1,0.000,0.000
16,손호영,롯데,0.213,45,137,122,18,26,8,0,4,46,15,0,2,10,0,3,26,3,0.377,0.285,0.662,4,0.133,0.250
17,노진혁,롯데,0.211,44,149,128,9,27,9,0,4,48,15,1,3,15,0,2,32,4,0.375,0.297,0.672,8,0.182,0.125
18,윤동희,롯데,0.207,33,129,111,15,23,7,0,3,39,8,0,0,15,2,3,32,3,0.351,0.318,0.669,6,0.267,0.000
